GroupId,GroupName,GroupDescription,ID,Shortname,LongName,Description
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",0,W,Width,"Width of item. TIP: Use Width to validate conditions for the Number variables. EXAMPLE: Setting the appropriate number of door pulls by using a formula. The NDWP variable would have the following formula: Cond(Width<=30,1,2) Explanation: Condition, if the width is less than or equal to 30, add 1 pull otherwise 2 pulls."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1,H,Height,"Height of an item. TIP: Use Height to validate conditions for the Number variables. EXAMPLE: Setting the appropriate number of shelves in a cabinet by using a formula. The NS1 variable would have the following formula: Round(Height/18,1) Explanation: The cabinet height is divided by 18, the end result will determine the number of shelves to be added. If applied on an item that is 42"" high, the calculation would be 42 / 18 = 2.3, the 2.3 is rounded down to 2."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",2,D,Depth,"Depth of an item. TIP: Use the Depth to validate conditions for the Drawer variables. EXAMPLE: Setting the appropriate depth of a drawer in a cabinet by using a formula. The DWD1 variable would have the following formula: Depth-4 Explanation: The depth of the drawer will be the depth of the cabinet less 4"". If applied to an item that is 24"" in depth, the calculation would be 24 - 4 = 20."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",3,W2,Width2,Second width of an item (clockwise direction). May be parallel or perpendicular.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",4,H2,Height2,Second height of an item. May be parallel or perpendicular.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",5,D2,Depth2,Second depth of an item (clockwise direction). May be parallel or perpendicular.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",6,W3,Width3,Third width of an item (clockwise direction). May be parallel or perpendicular.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",7,H3,Height3,Third height of an item. May be parallel or perpendicular.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",8,D3,Depth3,Third depth of an item (clockwise direction). May be parallel or perpendicular.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",12,FW1,FillerWidth1,Width of filler.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",13,FW2,FillerWidth2,Second width of filler.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",520,RAD,RADius,Radius value.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",522,DIA,DIAmeter,Diameter value.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1023,GD1,GenDim1,"Multi-purpose dimension variable: when Width, Height and Depth are already in use or when specific attributes are not available for this item."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1024,GD2,GenDim2,"Multi-purpose dimension variable: when Width, Height and Depth are already in use or when specific attributes are not available for this item."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1025,GD3,GenDim3,"Multi-purpose dimension variable: when Width, Height and Depth are already in use or when specific attributes are not available for this item."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1026,GD4,GenDim4,"Multi-purpose dimension variable: when Width, Height and Depth are already in use or when specific attributes are not available for this item."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1027,GD5,GenDim5,"Multi-purpose dimension variable: when Width, Height and Depth are already in use or when specific attributes are not available for this item."
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1047,MAXW,MAXWidth,Maximum width. Used to set a limit of the maximum dimension applicable to the width of an item. TIP: Use a formula in your Catalog.SYM file to set the maximum dimension for all cabinet widths. EXAMPLE: Setting the maximum dimension applicable to all items throughout the catalog. In your Catalog.SYM file set the MAXW variable with the following formula: Width Explanation: The maximum width applicable to an item will be the initial width it was created with. This will block the possibility of increasing the width of items in the Design program.
0,General,"Overall and interior dimensions. Values required in this group represent dimensions, except when specified.",1048,MAXD,MAXDepth,Maximum depth. Used to set a limit of the maximum dimension applicable to the depth of an item. TIP: Use a formula in your Catalog.SYM file to set the maximum dimension for all cabinet depths. EXAMPLE: Setting the maximum dimension applicable to all items throughout the catalog. In your Catalog.SYM file set the MAXD variable with the following formula: Depth Explanation: The maximum depth applicable to an item will be the initial depth it was created with. This will block the possibility of increasing the width of the items in the Design program.
